State,Year,Credit Score,Prosper Score,Lenders Yield,Number of Loans
AK,2009,820.0,9.0,0.095,1
AK,2010,680.0,5.09090909091,0.252672727273,11
AK,2011,713.846153846,6.61538461538,0.194761538462,26
AK,2012,696.0,5.825,0.2064925,40
AK,2013,702.0,5.48333333333,0.172305,60
AK,2014,691.034482759,5.72413793103,0.146844827586,29
AL,2009,683.333333333,6.625,0.2144625,24
AL,2010,689.318181818,6.77272727273,0.234363636364,88
AL,2011,693.205128205,5.82051282051,0.229521153846,156
AL,2012,694.761904762,5.86394557823,0.226622108844,294
AL,2013,695.826086957,5.21304347826,0.181129782609,460
AL,2014,691.34751773,6.04964539007,0.142606382979,141
AR,2009,697.333333333,8.0,0.166613333333,15
AR,2010,690.588235294,6.97058823529,0.213926470588,34
AR,2011,695.555555556,5.65555555556,0.23831,90
AR,2012,690.0,5.86627906977,0.223772093023,172
AR,2013,693.043478261,5.00310559006,0.184848447205,322
AR,2014,684.462809917,5.31404958678,0.164161157025,121
AZ,2009,700.8,7.84,0.18748,25
AZ,2010,716.428571429,7.28571428571,0.193861904762,84
AZ,2011,700.416666667,5.81944444444,0.217492361111,144
AZ,2012,701.64556962,6.14240506329,0.212475949367,316
AZ,2013,696.086956522,5.33876811594,0.173684782609,552
AZ,2014,691.941747573,6.07281553398,0.140925728155,206
CA,2009,712.480620155,7.98449612403,0.173286434109,258
CA,2010,703.606998654,7.24495289367,0.200616958277,743
CA,2011,701.641104294,6.03834355828,0.216254831288,1304
CA,2012,705.317769131,6.3121487246,0.201654863813,2313
CA,2013,698.665765157,5.72323642101,0.168829073698,4437
CA,2014,692.338762215,6.14527687296,0.141216026059,1535
CO,2009,711.379310345,7.36206896552,0.183620689655,58
CO,2010,702.280701754,6.81578947368,0.207505263158,114
CO,2011,702.042553191,6.0,0.215354042553,235
CO,2012,708.202531646,6.17721518987,0.199150886076,395
CO,2013,698.371040724,5.64856711916,0.169983257919,663
CO,2014,690.612244898,5.95918367347,0.146661632653,245
CT,2009,718.75,7.5625,0.184084375,32
CT,2010,717.46835443,7.87341772152,0.16357721519,79
CT,2011,701.340206186,6.02577319588,0.22970257732,194
CT,2012,702.686567164,6.21791044776,0.209566567164,335
CT,2013,701.375,5.590625,0.17233,640
CT,2014,699.2,6.265,0.1366035,200
DC,2009,730.0,7.7,0.14978,10
DC,2010,705.882352941,7.35294117647,0.192494117647,17
DC,2011,700.0,6.875,0.1932359375,64
DC,2012,712.643678161,6.80459770115,0.177952873563,87
DC,2013,703.703703704,6.48148148148,0.156137962963,108
DC,2014,701.025641026,7.25641025641,0.118946153846,39
DE,2009,700.0,7.33333333333,0.19365,6
DE,2010,727.5,7.75,0.17440625,16
DE,2011,712.903225806,5.87096774194,0.216012903226,31
DE,2012,709.836065574,6.67213114754,0.199157377049,61
DE,2013,701.4,5.49,0.167878,100
DE,2014,704.705882353,6.76470588235,0.126811764706,51
FL,2009,713.565217391,7.72173913043,0.179536521739,115
FL,2010,707.215909091,7.30397727273,0.198352840909,352
FL,2011,700.597014925,6.08208955224,0.2214539801,804
FL,2012,701.189591078,6.1843866171,0.211277843866,1345
FL,2013,697.64117941,5.32383808096,0.176338730635,2001
FL,2014,693.839541547,5.87535816619,0.146589684814,698
GA,2009,709.075630252,7.63025210084,0.184485714286,119
GA,2010,699.461538462,7.20384615385,0.207170769231,260
GA,2011,697.888446215,6.07370517928,0.21429940239,502
GA,2012,701.325,6.23375,0.20737025,800
GA,2013,698.018318068,5.6810990841,0.171401665279,1201
GA,2014,691.835748792,6.31884057971,0.142392995169,414
HI,2009,660.0,7.16666666667,0.241933333333,6
HI,2010,708.571428571,8.21428571429,0.172842857143,14
HI,2011,716.470588235,6.38235294118,0.216058823529,34
HI,2012,712.058823529,6.60294117647,0.194467647059,68
HI,2013,693.493975904,5.36144578313,0.179993373494,166
HI,2014,694.230769231,6.15384615385,0.146003846154,52
ID,2009,708.571428571,7.78571428571,0.167542857143,14
ID,2010,699.5,7.15,0.21183,40
ID,2011,705.0,4.5625,0.2377875,48
ID,2012,699.733333333,5.64,0.2244,75
ID,2013,697.631578947,5.25,0.176544078947,152
ID,2014,678.75,5.609375,0.1614578125,64
IL,2009,701.984732824,7.89312977099,0.184012977099,131
IL,2010,708.974358974,7.55448717949,0.189064423077,312
IL,2011,704.546952224,6.50411861614,0.204472981878,607
IL,2012,701.056994819,6.35958549223,0.201605181347,965
IL,2013,700.649038462,5.75901442308,0.168597596154,1664
IL,2014,691.537001898,6.16318785579,0.144275711575,527
IN,2009,700.909090909,8.02272727273,0.181218181818,44
IN,2010,700.0,7.24347826087,0.21059826087,115
IN,2011,694.033613445,6.0756302521,0.225761344538,238
IN,2012,699.900744417,6.15384615385,0.211433498759,403
IN,2013,700.032051282,5.36858974359,0.171755769231,624
IN,2014,688.571428571,6.0,0.147366666667,210
KS,2009,700.0,7.75,0.17375,4
KS,2010,687.727272727,6.97727272727,0.219406818182,44
KS,2011,697.477477477,5.95495495495,0.223961261261,111
KS,2012,698.557692308,5.86538461538,0.218522115385,208
KS,2013,699.369627507,5.27220630372,0.177078510029,349
KS,2014,696.910569106,5.88617886179,0.143938211382,123
KY,2009,688.333333333,7.83333333333,0.214975,12
KY,2010,699.583333333,6.79166666667,0.2181625,48
KY,2011,691.351351351,5.58558558559,0.240294594595,111
KY,2012,700.082987552,6.26556016598,0.207700829876,241
KY,2013,697.771428571,5.01142857143,0.179920571429,350
KY,2014,697.297297297,5.98198198198,0.146164864865,111
LA,2009,680.0,7.5,0.146866666667,6
